"StateFIPS","State","Year","Value","Data Comment","Age Group"
"04","Arizona","2016","8.5","","5 TO 9"
"04","Arizona","2016","8.6","","10 TO 14"
"04","Arizona","2016","12.1","","15 TO 17"
"04","Arizona","2017","Data Not Collected","","0 TO 4"
"04","Arizona","2017","Data Not Collected","","5 TO 9"
"04","Arizona","2017","Data Not Collected","","10 TO 14"
"04","Arizona","2017","Data Not Collected","","15 TO 17"
"04","Arizona","2018","Data Not Collected","","0 TO 4"
"04","Arizona","2018","Data Not Collected","","5 TO 9"
"04","Arizona","2018","Data Not Collected","","10 TO 14"
"04","Arizona","2018","Data Not Collected","","15 TO 17"
"04","Arizona","2019","Data Not Collected","","0 TO 4"
"04","Arizona","2019","Data Not Collected","","5 TO 9"
"04","Arizona","2019","Data Not Collected","","10 TO 14"
"04","Arizona","2019","Data Not Collected","","15 TO 17"
"04","Arizona","2020","Data Not Collected","","0 TO 4"
"04","Arizona","2020","Data Not Collected","","5 TO 9"
"04","Arizona","2020","Data Not Collected","","10 TO 14"
"04","Arizona","2020","Data Not Collected","","15 TO 17"
"05","Arkansas","2011","Data Not Collected","","0 TO 4"
"05","Arkansas","2011","Data Not Collected","","5 TO 9"
"05","Arkansas","2011","Data Not Collected","","10 TO 14"
"05","Arkansas","2011","Data Not Collected","","15 TO 17"
"05","Arkansas","2012","Data Not Collected","","0 TO 4"
"05","Arkansas","2012","Data Not Collected","","5 TO 9"
"05","Arkansas","2012","Data Not Collected","","10 TO 14"
"05","Arkansas","2012","Data Not Collected","","15 TO 17"
"05","Arkansas","2013","Data Not Collected","","0 TO 4"
"05","Arkansas","2013","Data Not Collected","","5 TO 9"
"05","Arkansas","2013","Data Not Collected","","10 TO 14"
"05","Arkansas","2013","Data Not Collected","","15 TO 17"
"05","Arkansas","2014","Data Not Collected","","0 TO 4"
"05","Arkansas","2014","Data Not Collected","","5 TO 9"
"05","Arkansas","2014","Data Not Collected","","10 TO 14"
"05","Arkansas","2014","Data Not Collected","","15 TO 17"
"05","Arkansas","2015","Data Not Collected","","0 TO 4"
"05","Arkansas","2015","Data Not Collected","","5 TO 9"
"05","Arkansas","2015","Data Not Collected","","10 TO 14"
"05","Arkansas","2015","Data Not Collected","","15 TO 17"
"05","Arkansas","2016","Data Not Collected","","0 TO 4"
"05","Arkansas","2016","Data Not Collected","","5 TO 9"
"05","Arkansas","2016","Data Not Collected","","10 TO 14"
"05","Arkansas","2016","Data Not Collected","","15 TO 17"
"05","Arkansas","2017","Data Not Collected","","0 TO 4"
"05","Arkansas","2017","Data Not Collected","","5 TO 9"
"05","Arkansas","2017","Data Not Collected","","10 TO 14"
"05","Arkansas","2017","Data Not Collected","","15 TO 17"
"05","Arkansas","2018","Data Not Collected","","0 TO 4"
"05","Arkansas","2018","Data Not Collected","","5 TO 9"
"05","Arkansas","2018","Data Not Collected","","10 TO 14"
"05","Arkansas","2018","Data Not Collected","","15 TO 17"
"05","Arkansas","2019","Data Not Collected","","0 TO 4"
"05","Arkansas","2019","Data Not Collected","","5 TO 9"
"05","Arkansas","2019","Data Not Collected","","10 TO 14"
"05","Arkansas","2019","Data Not Collected","","15 TO 17"
"05","Arkansas","2020","Data Not Collected","","0 TO 4"
"05","Arkansas","2020","Data Not Collected","","5 TO 9"
"05","Arkansas","2020","Data Not Collected","","10 TO 14"
"05","Arkansas","2020","Data Not Collected","","15 TO 17"
"06","California","2011","Data Not Collected","","0 TO 4"
"06","California","2011","Data Not Collected","","5 TO 9"
"06","California","2011","Data Not Collected","","10 TO 14"
"06","California","2011","Data Not Collected","","15 TO 17"
"06","California","2012","4.4","","0 TO 4"
"06","California","2012","9.8","","5 TO 9"
"06","California","2012","12.4","","10 TO 14"
"06","California","2012","10.4","","15 TO 17"
"06","California","2013","3.5","","0 TO 4"
"06","California","2013","10.1","","5 TO 9"
"06","California","2013","10.3","","10 TO 14"
"06","California","2013","11.3","","15 TO 17"
"06","California","2014","Suppressed","","0 TO 4"
"06","California","2014","13.1","","5 TO 9"
"06","California","2014","8.6","","10 TO 14"
"06","California","2014","8.3","","15 TO 17"
"06","California","2015","2.9","","0 TO 4"
"06","California","2015","8.5","","5 TO 9"
"06","California","2015","8.1","","10 TO 14"
"06","California","2015","9.1","","15 TO 17"
"06","California","2016","3.2","","0 TO 4"
"06","California","2016","8.4","","5 TO 9"
